"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"Jeep",2018,111632,3.6,1,"Petrol","Four-wheel Drive",17,21,0,0,1,1,0,1,23991
"Mitsubishi",2022,21584,2.5,1,"Petrol","Four-wheel Drive",22,29,0,1,1,1,1,0,29495
"Maserati",2018,33498,3,1,"Petrol","Rear-wheel Drive",16,23,0,1,1,1,0,1,38500
"Ford",2010,76640,5.4,1,"GPL","Four-wheel Drive",14,14,0,0,0,0,0,0,16576
"Ford",2014,105808,2,1,"Hybrid","Front-wheel Drive",41,44,0,1,1,1,0,0,15998
"Honda",2017,28857,2,1,"Petrol","Front-wheel Drive",31,40,0,0,0,1,0,0,21998
"Audi",2022,10463,NA,1,"Petrol","Four-wheel Drive",23,28,0,1,0,1,0,1,42700
"Volkswagen",2021,28113,3.6,1,"Petrol","Four-wheel Drive",28,38,0,1,0,1,1,1,40459
"Nissan",2020,99355,3.5,1,"Petrol","Front-wheel Drive",NA,NA,1,0,1,1,0,1,22995
"Kia",2020,101704,NA,1,"Petrol","Four-wheel Drive",35,39,1,0,1,1,1,1,30595
"Mercedes-Benz",2020,46960,2,1,"Petrol","Four-wheel Drive",NA,NA,1,1,1,1,0,0,45897
"MINI",2021,37118,2,1,"Petrol","Four-wheel Drive",22,32,0,0,0,1,0,1,38991
"Cadillac",2007,226985,6.2,1,"Petrol","Four-wheel Drive",19,28,0,0,1,0,1,1,8995
"MINI",2022,12143,2,0,"Petrol","Front-wheel Drive",24,34,0,1,1,1,0,1,37729
"Kia",2022,7797,3.3,1,"Petrol","Four-wheel Drive",23,30,0,1,1,1,0,1,42398
"Audi",2022,9268,2,1,"Petrol","Four-wheel Drive",23,28,0,1,0,1,0,1,41800
"Volkswagen",2021,48468,2,1,"Petrol","Front-wheel Drive",16,23,0,0,0,1,1,0,26826
"Alfa",2019,41899,2,1,"Petrol","Four-wheel Drive",22,28,1,1,1,1,0,0,26490
"Jeep",2000,17911,4,1,"Petrol","Four-wheel Drive",16,21,0,0,0,0,0,0,27995
"FIAT",2019,29182,NA,1,"Electric","Front-wheel Drive",NA,NA,0,1,1,1,0,1,16955
"Ford",2020,86835,3.5,1,"Petrol","Four-wheel Drive",16,21,0,1,0,1,1,1,40252
"BMW",2013,107880,2,1,"Petrol","Four-wheel Drive",22,33,0,0,0,1,0,0,10999
"Hyundai",2023,4565,3.8,1,"Petrol","Four-wheel Drive",19,26,0,0,1,0,1,1,49700
"Alfa",2020,8493,2,1,"Petrol","Rear-wheel Drive",24,33,0,1,0,1,0,1,33641
"Volkswagen",1999,220137,2.8,1,"Petrol","Front-wheel Drive",20,29,0,0,0,0,1,0,19990
"Maserati",2016,23957,3,1,"Petrol","Four-wheel Drive",13,20,0,0,1,1,0,1,29496
"Maserati",2018,49668,3,1,"Petrol","Four-wheel Drive",16,22,1,0,1,1,0,1,37749
"Land",2021,14641,NA,1,"Petrol","Four-wheel Drive",12,18,0,0,1,1,0,0,41873
"Chevrolet",2023,6634,3.6,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,1,0,39985
"MINI",2020,23099,2,1,"Petrol","Four-wheel Drive",23,32,0,1,0,1,0,1,26211
"BMW",2017,76957,2,1,"Petrol","Rear-wheel Drive",23,34,1,0,0,1,0,0,23399
"MINI",2015,87121,1.6,0,"Petrol","Front-wheel Drive",23,32,0,0,0,1,0,0,13485
"Lexus",2019,36826,4.6,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,1,1,46790
"Jaguar",2004,109158,3,1,"Petrol","Rear-wheel Drive",23,33,1,0,0,0,0,0,4999
"Lexus",2021,16503,3.5,1,"Petrol","Four-wheel Drive",28,29,0,NA,0,1,1,0,48493
"Audi",2021,13013,3,1,"Petrol","Four-wheel Drive",18,24,0,1,0,1,0,1,49456
"Jeep",2017,50163,3.6,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,27599
"Chevrolet",2021,60682,2.7,1,"Petrol","Rear-wheel Drive",20,23,0,1,0,1,0,0,32714
"Honda",2019,66017,2,1,"Petrol","Front-wheel Drive",22,32,1,0,0,1,0,1,26500
"Mitsubishi",2022,6231,2.5,1,"Petrol","Four-wheel Drive",36,43,0,1,0,1,1,0,30990
"Mercedes-Benz",2022,5469,2,1,"Petrol","Four-wheel Drive",18,23,0,1,0,1,0,1,50884
"Volkswagen",2021,24047,3.6,1,"Petrol","Four-wheel Drive",21,27,0,1,1,1,0,1,43505
"Land",2020,59170,3,1,"Petrol","Four-wheel Drive",14,19,0,1,0,1,0,0,35314
"Cadillac",2021,23479,2,1,"Petrol","Four-wheel Drive",14,19,1,1,1,1,0,0,39994
"Ford",2007,122655,4.6,1,"Petrol","Rear-wheel Drive",NA,NA,1,1,0,0,0,0,12888
"Volvo",2004,56356,2.5,0,"Petrol","Four-wheel Drive",22,30,0,0,0,0,0,0,22985
"Maserati",2009,102138,4.2,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,1,1,0,1,12950
"Lexus",2008,139385,4.7,1,"Petrol","Four-wheel Drive",28,29,1,0,1,0,1,1,16500
"Mercedes-Benz",2013,60621,4.6,1,"Petrol","Rear-wheel Drive",15,24,1,0,1,1,0,1,32995
"MINI",2015,46784,2,1,"Petrol","Front-wheel Drive",26,35,1,0,0,1,0,0,17399
"Cadillac",1984,35021,4.1,1,"Petrol","Front-wheel Drive",15,24,0,0,0,0,0,0,11999
"Kia",2020,44765,1.6,1,"Petrol","Front-wheel Drive",20,28,NA,NA,0,1,0,0,17310
"Cadillac",2014,108038,3.6,1,"Petrol","Front-wheel Drive",15,23,1,0,1,1,0,1,13450
"Volkswagen",2021,70018,3.6,1,"Petrol","Front-wheel Drive",NA,NA,1,1,0,1,1,1,27995
"Toyota",2021,78285,2.5,1,"Hybrid","Four-wheel Drive",38,41,0,1,0,1,0,0,31446
"Lexus",2020,48184,2,1,"Petrol","Front-wheel Drive",19,26,0,1,0,1,0,0,29000
"Mitsubishi",2023,11152,2.5,1,"Petrol","Front-wheel Drive",26,29,0,1,1,1,1,1,32596
"Alfa",2023,4399,2,1,"Petrol","Rear-wheel Drive",22,29,0,0,1,1,0,1,39500
"Mitsubishi",2021,42725,2,1,"Petrol","Four-wheel Drive",24,30,0,1,0,1,0,1,20025
"Toyota",2016,60292,1.8,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,0,15970
"MINI",2018,46142,1.5,1,"Petrol","Front-wheel Drive",23,33,0,1,0,1,0,1,20238
"Volkswagen",2015,77051,2,0,"Petrol","Front-wheel Drive",16,22,0,0,0,1,0,0,16950
"MINI",2020,53915,1.5,1,"Petrol","Four-wheel Drive",24,33,0,0,0,1,0,1,22695
"Honda",2014,69013,3.5,1,"Petrol","Four-wheel Drive",15,21,0,0,0,0,0,0,22360
"Lexus",2023,1022,2.4,1,"Petrol","Four-wheel Drive",21,31,0,1,1,0,0,1,51953
"Jeep",2022,10835,2,1,"Petrol","Four-wheel Drive",13,18,0,1,1,1,0,1,48777
"Hyundai",2019,40005,1.6,1,"Hybrid","Front-wheel Drive",22,28,1,0,0,1,0,0,18837
"Hyundai",2019,74458,2,1,"Petrol","Front-wheel Drive",22,28,0,0,0,1,0,0,16747
"Honda",2021,8073,2,0,"Petrol","Front-wheel Drive",22,28,0,1,1,1,0,0,48995
"Maserati",2017,55932,3,1,"Petrol","Four-wheel Drive",13,22,0,0,1,1,0,0,28885
"Kia",2022,305,NA,1,"Electric","Rear-wheel Drive",35,39,0,1,1,1,0,0,44900
"MINI",2022,2145,2,1,"Petrol","Front-wheel Drive",25,32,0,1,0,1,0,0,31998
"Land",2019,45605,NA,1,"Petrol","Four-wheel Drive",21,27,0,0,1,1,0,0,43824
"Alfa",2022,1884,2,1,"Petrol","Four-wheel Drive",24,34,0,1,1,1,0,1,40840
"MINI",2019,60674,1.5,1,"Petrol","Front-wheel Drive",27,36,0,1,0,1,0,1,18998
"Alfa",2020,30020,2,1,"Petrol","Four-wheel Drive",22,28,1,1,0,1,0,1,30654
"Mazda",2016,88403,2,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,17249
"Toyota",2009,130559,1.8,1,"Petrol","Front-wheel Drive",27,35,1,0,0,0,0,0,9899
"Kia",2020,42648,3.8,1,"Petrol","Four-wheel Drive",20,26,0,0,0,1,1,0,31474
"Chevrolet",2016,75882,4.8,1,"Petrol","Rear-wheel Drive",NA,NA,0,1,0,1,1,0,28306
"Audi",2018,47685,4,1,"Petrol","Four-wheel Drive",16,24,0,0,1,1,0,0,42998
"Alfa",2019,12016,2,1,"Petrol","Four-wheel Drive",22,28,0,1,0,1,0,0,34995
"Hyundai",2019,64519,3.3,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,1,0,14500
"Volkswagen",2004,99700,3.2,0,"Petrol","Four-wheel Drive",NA,NA,1,0,0,0,0,1,27995
"MINI",2022,12411,2,1,"Petrol","Four-wheel Drive",27,35,0,0,0,1,0,1,43388
"Toyota",2016,75199,2.5,1,"Hybrid","Four-wheel Drive",31,34,0,0,0,1,0,0,21996
"Ford",1994,81696,2.5,0,"Petrol","Front-wheel Drive",21,26,0,0,0,0,0,0,10999
"Honda",2021,28922,1.8,1,"Petrol","Front-wheel Drive",28,34,1,1,0,1,0,1,26892
"Volkswagen",2022,18342,1.5,1,"Petrol","Front-wheel Drive",NA,NA,1,1,0,1,0,1,24500
"Jaguar",2019,36715,NA,1,"Petrol","Four-wheel Drive",30,40,0,1,1,1,0,0,31999
"Mercedes-Benz",2017,83568,2,1,"GPL","Four-wheel Drive",13,16,1,0,0,1,0,0,17990
"BMW",2022,24213,2,1,"Petrol","Four-wheel Drive",23,30,0,1,1,1,0,1,39477
"Cadillac",2010,42765,3.6,1,"Petrol","Four-wheel Drive",13,19,0,1,1,1,0,1,10500
"Hyundai",2014,122946,2.4,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,0,1,11994
"Alfa",2021,19478,2,1,"Petrol","Rear-wheel Drive",24,33,0,1,1,1,0,1,30800
"Nissan",2017,50882,3.5,1,"Petrol","Front-wheel Drive",14,19,1,1,1,1,0,1,23812
"Jeep",2021,2016,2,1,"Hybrid","Four-wheel Drive",23,30,0,1,1,1,0,0,48753
"Ford",2017,85380,2,1,"Petrol","Front-wheel Drive",21,32,0,0,0,1,0,1,16997
"Cadillac",2021,45767,2,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,0,0,35750
"MINI",2021,950,2,0,"Petrol","Front-wheel Drive",23,31,0,1,1,1,0,1,48800
"Kia",2020,48906,1.6,1,"Hybrid","Front-wheel Drive",20,26,0,1,0,1,0,0,20777
"MINI",2019,68204,2,1,"Petrol","Four-wheel Drive",24,33,0,0,0,1,0,1,22899
"Hyundai",2021,24172,3.8,1,"Petrol","Four-wheel Drive",25,28,0,1,1,1,1,1,46550
"Toyota",2014,95735,3.5,1,"Petrol","Four-wheel Drive",18,25,0,1,1,1,0,1,19222
"Ford",2013,130246,2,0,"GPL","Front-wheel Drive",26,36,0,0,0,1,0,0,6999
"Honda",2017,50419,2,0,"Petrol","Front-wheel Drive",28,39,0,0,0,1,0,0,19495
"Mercedes-Benz",2021,14278,2,1,"Petrol","Rear-wheel Drive",NA,NA,1,1,0,1,0,1,37299
"Chevrolet",2015,151012,5.3,1,"Petrol","Four-wheel Drive",17,22,1,0,0,0,0,0,18481
"Nissan",2020,5865,3.7,1,"Petrol","Rear-wheel Drive",29,39,0,1,0,1,0,0,35995
"Land",2020,40890,NA,1,"Petrol","Four-wheel Drive",17,22,0,1,1,1,0,0,36989
"Nissan",1999,137056,3,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,0,0,0,4495
"Jaguar",2020,20989,NA,1,"Petrol","Four-wheel Drive",24,34,0,1,1,1,0,1,38948
"Chevrolet",2017,78681,1.5,1,"Petrol","Front-wheel Drive",27,36,0,0,0,1,0,0,15000
"Alfa",2017,94097,2,1,"Petrol","Rear-wheel Drive",24,33,1,0,0,1,0,0,19981
"Land",2018,34490,3,1,"Petrol","Four-wheel Drive",17,22,0,0,1,1,0,1,46966
"Cadillac",2020,32664,3.6,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,36990
"Ford",2017,141373,3.7,1,"Unknown","Rear-wheel Drive",NA,NA,1,0,0,0,0,0,24425
"Volvo",2018,37175,2,1,"Petrol","Four-wheel Drive",20,27,0,1,1,1,0,0,23995
"Mazda",2018,32531,2,1,"Petrol","Rear-wheel Drive",27,32,0,0,0,1,0,1,25321
"Volvo",2020,26244,2,1,"Petrol","Four-wheel Drive",20,28,0,1,1,1,1,1,39995
"Cadillac",2013,54150,6.2,1,"Petrol","Rear-wheel Drive",21,27,0,0,1,1,0,1,38975
"Mazda",2020,28528,2.5,1,"Petrol","Front-wheel Drive",26,35,0,1,0,1,0,1,25599
"Lexus",2018,72572,2,1,"Petrol","Rear-wheel Drive",19,26,1,0,0,1,0,0,22811
"Chevrolet",2017,62758,NA,1,"Electric","Front-wheel Drive",NA,NA,0,1,0,1,0,0,20000
"Ford",2017,55317,1.5,1,"Petrol","Front-wheel Drive",23,30,1,1,0,1,0,1,15999
"Honda",2022,16882,1.5,1,"Petrol","Front-wheel Drive",33,42,0,1,0,1,0,1,26974
"Hyundai",2012,78933,2.4,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,0,0,10000
"Volkswagen",2023,6722,1.5,1,"Petrol","Four-wheel Drive",24,36,0,1,0,1,0,1,33988
"Honda",2012,100368,2.4,1,"Petrol","Front-wheel Drive",22,33,1,0,0,0,0,0,10503
"Mazda",2014,142131,2.5,1,"Petrol","Front-wheel Drive",23,28,1,0,1,1,0,0,9900
"Chevrolet",2010,109668,6.2,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,0,1,0,1,16995
"Jaguar",2017,104195,3,1,"Petrol","Four-wheel Drive",22,27,1,0,0,1,0,0,14750
"Honda",2023,1312,1.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,0,0,1,36499
"Jaguar",2021,27897,2,1,"Petrol","Rear-wheel Drive",12,17,0,0,1,1,0,0,53999
"Alfa",2020,39362,2,1,"Petrol","Four-wheel Drive",17,23,1,1,0,1,0,0,29996
"Audi",2021,20177,2,1,"Petrol","Four-wheel Drive",24,30,0,1,1,1,0,0,44822
"Hyundai",2022,1344,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,0,1,26995
"BMW",2019,27860,2,1,"Petrol","Four-wheel Drive",23,33,0,0,1,1,0,0,29998
"Nissan",2009,74868,3.7,0,"Petrol","Rear-wheel Drive",21,30,0,0,0,1,0,0,22800
"Mazda",2015,85901,2.5,1,"Petrol","Front-wheel Drive",25,35,0,0,1,1,0,1,16000
"Mazda",2023,1010,2.5,1,"Petrol","Four-wheel Drive",25,31,0,1,0,1,0,1,40944
"Honda",2019,71026,2,1,"Petrol","Front-wheel Drive",29,37,1,0,0,1,0,0,21994
"Kia",2022,25536,3.3,1,"Petrol","Rear-wheel Drive",17,25,0,0,1,1,0,0,43800
"Audi",2021,17075,3,1,"Petrol","Four-wheel Drive",18,24,0,0,0,1,0,1,48229
"Kia",2020,15149,NA,1,"Electric","Front-wheel Drive",27,37,0,1,0,1,0,1,26199
"Jaguar",2018,85180,2,1,"Petrol","Four-wheel Drive",22,27,0,0,1,1,0,1,23250
"Volvo",2022,12744,NA,1,"Electric","Four-wheel Drive",22,30,0,1,1,0,0,1,40000
"Alfa",2019,28385,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,1,34646
"Ford",2019,17475,2,1,"Petrol","Front-wheel Drive",22,29,0,0,1,1,0,0,21900
"Cadillac",2010,147873,3.6,1,"Petrol","Four-wheel Drive",22,31,1,0,0,1,0,1,7500
"Cadillac",2014,81375,3.6,1,"Petrol","Front-wheel Drive",NA,NA,0,0,1,1,0,1,18950
"Alfa",2022,4174,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,0,44990
"Jaguar",2020,8893,NA,1,"Petrol","Rear-wheel Drive",16,25,0,1,1,1,0,0,48850
"Jeep",2020,41371,3.6,1,"Petrol","Four-wheel Drive",18,25,0,1,1,1,0,0,38346
"Cadillac",2020,58049,6.2,1,"Petrol","Four-wheel Drive",14,21,0,0,1,1,1,0,50500
"Jeep",2017,53663,3.6,1,"Petrol","Four-wheel Drive",16,21,1,1,1,1,0,1,30685
"Jaguar",2018,41012,NA,1,"Petrol","Four-wheel Drive",22,27,0,0,0,1,0,0,24440
"Hyundai",2022,3608,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,0,1,1,0,1,30491
"Cadillac",2019,41351,2,1,"Petrol","Four-wheel Drive",14,19,0,0,0,1,0,0,28650
"BMW",2016,35805,3,1,"Petrol","Rear-wheel Drive",17,26,1,0,1,1,0,1,48549
"Alfa",2019,30325,2,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,0,1,25850
"Alfa",2019,26324,2,1,"Petrol","Four-wheel Drive",22,28,0,1,0,1,0,1,29800
"FIAT",2018,43824,2.4,1,"Petrol","Four-wheel Drive",21,29,0,0,1,1,0,1,20795
"Volvo",2020,37090,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,1,39993
"Volvo",2020,16712,2,1,"Petrol","Four-wheel Drive",22,29,0,0,0,1,0,0,32699
"Jeep",2015,103497,2.4,1,"Petrol","Four-wheel Drive",16,23,0,0,0,1,0,1,14777
"Cadillac",2016,95296,6.2,1,"Petrol","Rear-wheel Drive",23,32,1,0,1,1,1,1,33989
"Jeep",2004,60012,4,0,"Petrol","Four-wheel Drive",14,22,0,0,0,0,0,0,23990
"BMW",2017,31504,4.4,1,"Petrol","Rear-wheel Drive",17,24,0,0,1,1,0,1,39995
"Chevrolet",2014,202454,NA,1,"Petrol","Rear-wheel Drive",11,17,0,1,0,0,0,0,16900
"Maserati",2014,29065,4.7,1,"Petrol","Rear-wheel Drive",16,24,0,0,1,1,0,0,52950
"Honda",2014,136230,1.5,1,"Hybrid","Front-wheel Drive",44,47,1,0,0,1,0,0,11997
"MINI",2017,58607,2,0,"Petrol","Front-wheel Drive",26,35,0,0,1,1,0,1,25200
"MINI",2017,78545,2,0,"Petrol","Front-wheel Drive",28,37,0,0,0,1,0,1,19500
"Maserati",2017,82257,3,1,"Petrol","Four-wheel Drive",16,24,0,0,1,1,0,1,29995
"Toyota",2017,53536,3.5,1,"Hybrid","Four-wheel Drive",27,29,0,1,1,1,1,1,33772
"MINI",2020,28704,2,1,"Petrol","Four-wheel Drive",24,33,0,1,0,1,0,1,26976
"Mazda",2022,5195,2.5,1,"Petrol","Four-wheel Drive",27,37,0,1,1,1,0,1,28787
"Land",2016,77524,3,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,1,1,26995
"Maserati",2016,35020,3,1,"Petrol","Four-wheel Drive",13,21,1,0,1,1,0,1,27500
"Jaguar",2012,20484,5,1,"Petrol","Rear-wheel Drive",26,33,0,0,1,1,0,1,41481
"FIAT",2015,53236,NA,1,"Electric","Front-wheel Drive",NA,NA,0,0,1,1,0,0,8999
"MINI",2009,108175,1.6,1,"Petrol","Front-wheel Drive",26,33,1,0,0,0,0,0,7795
"Cadillac",2014,91542,6.2,1,"Petrol","Four-wheel Drive",15,23,0,0,1,1,1,0,28500
"Land",2016,86101,2,1,"Petrol","Four-wheel Drive",14,19,1,0,1,1,0,0,16900
"Maserati",2019,10154,3,1,"Petrol","Four-wheel Drive",16,24,1,1,1,1,0,0,49999
"BMW",2020,39763,3,1,"Petrol","Four-wheel Drive",22,29,1,1,1,1,0,1,39750
"Mitsubishi",2021,22072,1.2,1,"Petrol","Front-wheel Drive",23,29,0,1,0,1,0,0,16950
"Lexus",2019,28862,2,1,"Petrol","Four-wheel Drive",20,27,1,1,0,1,0,0,32500
"Porsche",2006,118416,3.8,1,"Petrol","Rear-wheel Drive",20,30,1,0,0,0,0,0,29985
"Volkswagen",2021,33294,2,1,"Petrol","Four-wheel Drive",20,24,1,1,0,1,1,0,28599
"MINI",2021,9344,1.5,1,"Petrol","Four-wheel Drive",27,35,0,1,0,1,0,0,28990
"Jaguar",2011,102064,5,1,"Petrol","Rear-wheel Drive",22,27,0,0,1,1,0,0,14995
"Hyundai",2021,38028,2.5,1,"Petrol","Front-wheel Drive",22,30,0,1,0,1,0,0,19999
"Volkswagen",2022,26791,3.6,1,"Petrol","Four-wheel Drive",35,38,0,1,0,1,1,1,39980
"Mercedes-Benz",2014,55784,5.5,1,"Petrol","Rear-wheel Drive",22,28,0,1,1,1,0,1,54577
"Honda",2017,57206,3.5,1,"Petrol","Four-wheel Drive",18,25,0,1,1,1,0,0,24990
"Alfa",2021,13380,2,1,"Petrol","Four-wheel Drive",17,23,0,1,1,1,0,0,36299
"MINI",2022,4322,NA,1,"Electric","Front-wheel Drive",23,32,0,1,1,1,0,1,28174
"Chevrolet",2018,61540,5.3,1,"Petrol","Rear-wheel Drive",16,23,1,0,0,1,1,0,29850
"Volkswagen",2021,67017,3.6,1,"Petrol","Four-wheel Drive",22,29,0,1,1,1,1,1,31592
"Mercedes-Benz",2019,30192,2,1,"Petrol","Front-wheel Drive",13,18,0,0,0,1,0,0,28998
"Honda",2022,34330,1.5,1,"Petrol","Four-wheel Drive",27,32,0,1,0,1,0,1,31800
"Maserati",2002,35858,4.2,1,"Petrol","Rear-wheel Drive",14,18,0,0,0,0,0,0,18880
"MINI",2012,105048,1.6,1,"Petrol","Front-wheel Drive",23,31,1,0,0,0,0,0,12989
"Mitsubishi",2013,158743,2,1,"Petrol","Four-wheel Drive",26,33,0,0,0,1,0,1,6991
